category,title,url,description
Termux,Instalação e Setup Básico,https://termux.dev/en/,"Comando: `pkg install proot git` - Acesso ao site oficial para os primeiros passos e instalação."
Termux,Acessar Armazenamento Interno,https://wiki.termux.com/wiki/Termux-setup-storage,"Comando: `termux-setup-storage` - Permite que o Termux acesse seus arquivos em /sdcard."
Termux,Criar Ambiente Virtual Python,https://docs.python.org/3/library/venv.html,"Comando: `python -m venv nome_do_venv` seguido de `source nome_do_venv/bin/activate`."
Linux,Navegação Básica (cd),https://www.geeksforgeeks.org/cd-command-in-linux-with-examples/,"Comando: `cd /caminho/para/pasta` - Mudar de diretório. `cd ..` para voltar, `cd ~` para home."
Linux,Listar Arquivos (ls),https://www.geeksforgeeks.org/ls-command-in-linux-with-examples/,"Comando: `ls -la` - Lista todos os arquivos (incluindo ocultos) com detalhes e permissões."
Linux,Criar/Remover Diretórios,https://www.geeksforgeeks.org/mkdir-command-in-linux-with-examples/,"Comandos: `mkdir nome_da_pasta` para criar. `rmdir nome_da_pasta` para remover (se vazia). `rm -rf nome_da_pasta` para forçar remoção."
Kali-Linux,Metasploit Framework,https://www.metasploit.com/,"Comando: `msfconsole` - Inicia o framework mais famoso para desenvolvimento e execução de exploits."
Kali-Linux,John the Ripper,https://www.openwall.com/john/,"Comando: `john --wordlist=rockyou.txt hash.txt` - Poderosa ferramenta para quebrar senhas."
Pentest,Nmap - Scan de Portas,https://nmap.org/book/man-port-scanning-techniques.html,"Comando: `nmap -sV -p- <alvo>` - Realiza um scan de versão em todas as 65535 portas de um alvo."
Pentest,Hack Tricks,https://book.hacktricks.xyz/welcome/readme,"Uma 'enciclopédia' massiva de metodologias e comandos de pentest."
Análise,Wireshark,https://www.wireshark.org/,"A principal ferramenta para análise de tráfego de rede e inspeção de pacotes."
Análise,Burp Suite,https://portswigger.net/burp,"O canivete suíço para testes de segurança em aplicações web, atuando como proxy."
Frameworks,Flask Documentation,https://flask.palletsprojects.com/,"Documentação oficial do Flask, o microframework que usamos no site principal."
Frameworks,Streamlit Documentation,https://docs.streamlit.io/,"Documentação oficial do Streamlit, usado para construir este repositório."
Python Libs,Requests Library,https://requests.readthedocs.io/,"A biblioteca Python para fazer requisições HTTP de forma simples."
Python Libs,Pandas Documentation,https://pandas.pydata.org/docs/,"Biblioteca poderosa para análise e manipulação de dados em Python."
